timestamp,availability,distance_driven
1616775300,0.0,0.0
1616776200,0.0,0.0
1616777100,1.0,28.0
1616778000,1.0,0.0
1616778900,1.0,0.0
1616779800,1.0,0.0
1616780700,1.0,0.0
1616781600,1.0,0.0
1616782500,1.0,0.0
1616783400,1.0,0.0
1616784300,1.0,0.0
1616785200,1.0,0.0
1616786100,1.0,0.0
1616787000,1.0,0.0
1616787900,1.0,0.0
1616788800,1.0,0.0
1616789700,1.0,0.0
1616790600,1.0,0.0
1616791500,1.0,0.0
1616792400,1.0,0.0
1616793300,1.0,0.0
1616794200,1.0,0.0
1616795100,1.0,0.0
1616796000,1.0,0.0
1616796900,1.0,0.0
1616797800,1.0,0.0
1616798700,1.0,0.0
1616799600,1.0,0.0
1616800500,1.0,0.0
1616801400,1.0,0.0
1616802300,1.0,0.0
1616803200,1.0,0.0
1616804100,1.0,0.0
1616805000,1.0,0.0
1616805900,1.0,0.0
1616806800,1.0,0.0
1616807700,1.0,0.0
1616808600,1.0,0.0
1616809500,1.0,0.0
1616810400,1.0,0.0
1616811300,1.0,0.0
1616812200,1.0,0.0
1616813100,1.0,0.0
1616814000,1.0,0.0
1616814900,1.0,0.0
1616815800,1.0,0.0
1616816700,1.0,0.0
1616817600,1.0,0.0
1616818500,1.0,0.0
1616819400,1.0,0.0
1616820300,1.0,0.0
1616821200,1.0,0.0
1616822100,1.0,0.0
1616823000,1.0,0.0
1616823900,1.0,0.0
1616824800,1.0,0.0
1616825700,1.0,0.0
1616826600,1.0,0.0
1616827500,1.0,0.0
1616828400,1.0,0.0
1616829300,1.0,0.0
1616830200,1.0,0.0
1616831100,1.0,0.0
1616832000,1.0,0.0
1616832900,1.0,0.0
1616833800,1.0,0.0
1616834700,1.0,0.0
1616835600,1.0,0.0
1616836500,1.0,0.0
1616837400,1.0,0.0
1616838300,1.0,0.0
1616839200,1.0,0.0
1616840100,1.0,0.0
1616841000,1.0,0.0
1616841900,1.0,0.0
1616842800,1.0,0.0
1616843700,1.0,0.0
1616844600,1.0,0.0
1616845500,1.0,0.0
1616846400,1.0,0.0
1616847300,1.0,0.0
1616848200,1.0,0.0
1616849100,1.0,0.0
1616850000,1.0,0.0
1616850900,1.0,0.0
1616851800,1.0,0.0
1616852700,1.0,0.0
1616853600,1.0,0.0
1616854500,1.0,0.0
1616855400,1.0,0.0
1616856300,1.0,0.0
1616857200,1.0,0.0
1616858100,1.0,0.0
1616859000,1.0,0.0
1616859900,1.0,0.0
1616860800,1.0,0.0
1616861700,1.0,0.0
1616862600,1.0,0.0
1616863500,1.0,0.0
1616864400,1.0,0.0
1616865300,1.0,0.0
1616866200,1.0,0.0
1616867100,1.0,0.0
1616868000,1.0,0.0
1616868900,1.0,0.0
1616869800,1.0,0.0
1616870700,1.0,0.0
1616871600,1.0,0.0
1616872500,1.0,0.0
1616873400,1.0,0.0
1616874300,1.0,0.0
1616875200,1.0,0.0
1616876100,1.0,0.0
1616877000,1.0,0.0
1616877900,1.0,0.0
1616878800,1.0,0.0
1616879700,1.0,0.0
1616880600,1.0,0.0
1616881500,1.0,0.0
1616882400,1.0,0.0
1616883300,1.0,0.0
1616884200,1.0,0.0
1616885100,1.0,0.0
1616886000,1.0,0.0
1616886900,1.0,0.0
1616887800,1.0,0.0
1616888700,1.0,0.0
1616889600,1.0,0.0
1616890500,1.0,0.0
1616891400,1.0,0.0
1616892300,1.0,0.0
1616893200,1.0,0.0
1616894100,1.0,0.0
1616895000,1.0,0.0
1616895900,1.0,0.0
1616896800,1.0,0.0
1616897700,1.0,0.0
1616898600,1.0,0.0
1616899500,1.0,0.0
1616900400,1.0,0.0
1616901300,1.0,0.0
1616902200,1.0,0.0
1616903100,1.0,0.0
1616904000,1.0,0.0
1616904900,1.0,0.0
1616905800,1.0,0.0
1616906700,1.0,0.0
1616907600,1.0,0.0
1616908500,1.0,0.0
1616909400,1.0,0.0
1616910300,1.0,0.0
1616911200,1.0,0.0
1616912100,1.0,0.0
1616913000,1.0,0.0
1616913900,1.0,0.0
1616914800,1.0,0.0
1616915700,1.0,0.0
1616916600,1.0,0.0
1616917500,1.0,0.0
1616918400,1.0,0.0
1616919300,1.0,0.0
1616920200,1.0,0.0
1616921100,1.0,0.0
1616922000,1.0,0.0
1616922900,1.0,0.0
1616923800,1.0,0.0
1616924700,1.0,0.0
1616925600,1.0,0.0
1616926500,1.0,0.0
1616927400,1.0,0.0
1616928300,1.0,0.0
1616929200,1.0,0.0
1616930100,1.0,0.0
1616931000,1.0,0.0
1616931900,1.0,0.0
1616932800,1.0,0.0
1616933700,1.0,0.0
1616934600,1.0,0.0
1616935500,1.0,0.0
1616936400,1.0,0.0
1616937300,1.0,0.0
1616938200,1.0,0.0
1616939100,0.0,0.0
1616940000,0.0,0.0
1616940900,0.0,0.0
1616941800,0.0,0.0
1616942700,0.0,0.0
1616943600,0.0,0.0
1616944500,0.0,0.0
1616945400,0.0,0.0
1616946300,0.0,0.0
1616947200,0.0,0.0
1616948100,0.0,0.0
1616949000,0.0,0.0
1616949900,0.0,0.0
1616950800,1.0,12.0
1616951700,1.0,0.0
1616952600,1.0,0.0
1616953500,1.0,0.0
1616954400,1.0,0.0
1616955300,1.0,0.0
1616956200,1.0,0.0
1616957100,1.0,0.0
1616958000,1.0,0.0
1616958900,1.0,0.0
1616959800,1.0,0.0
1616960700,1.0,0.0
1616961600,1.0,0.0
1616962500,1.0,0.0
1616963400,1.0,0.0
1616964300,1.0,0.0
1616965200,1.0,0.0
1616966100,1.0,0.0
1616967000,1.0,0.0
1616967900,1.0,0.0
1616968800,1.0,0.0
1616969700,1.0,0.0
1616970600,1.0,0.0
1616971500,1.0,0.0
1616972400,1.0,0.0
1616973300,1.0,0.0
1616974200,1.0,0.0
1616975100,1.0,0.0
1616976000,1.0,0.0
1616976900,1.0,0.0
1616977800,1.0,0.0
1616978700,1.0,0.0
1616979600,1.0,0.0
1616980500,1.0,0.0
1616981400,1.0,0.0
1616982300,1.0,0.0
1616983200,1.0,0.0
1616984100,1.0,0.0
1616985000,1.0,0.0
1616985900,1.0,0.0
1616986800,1.0,0.0
1616987700,1.0,0.0
1616988600,1.0,0.0
1616989500,1.0,0.0
1616990400,1.0,0.0
1616991300,1.0,0.0
1616992200,1.0,0.0
1616993100,1.0,0.0
1616994000,1.0,0.0
1616994900,1.0,0.0
1616995800,1.0,0.0
1616996700,1.0,0.0
1616997600,1.0,0.0
1616998500,1.0,0.0
1616999400,1.0,0.0
1617000300,1.0,0.0
1617001200,1.0,0.0
1617002100,1.0,0.0
1617003000,1.0,0.0
1617003900,1.0,0.0
1617004800,1.0,0.0
1617005700,1.0,0.0
1617006600,1.0,0.0
1617007500,1.0,0.0
1617008400,1.0,0.0
1617009300,1.0,0.0
1617010200,1.0,0.0
1617011100,1.0,0.0
1617012000,1.0,0.0
1617012900,1.0,0.0
1617013800,1.0,0.0
1617014700,1.0,0.0
