timestamp,power
1613343600,1269
1613344500,522
1613345400,241
1613346300,79
1613347200,55
1613348100,110
1613349000,115
1613349900,100
1613350800,120
1613351700,100
1613352600,113
1613353500,115
1613354400,98
1613355300,119
1613356200,97
1613357100,113
1613358000,107
1613358900,103
1613359800,112
1613360700,100
1613361600,112
1613362500,97
1613363400,88
1613364300,32
1613365200,33
1613366100,36
1613367000,64
1613367900,64
1613368800,77
1613369700,124
1613370600,96
1613371500,108
1613372400,98
1613373300,105
1613374200,103
1613375100,98
1613376000,109
1613376900,93
1613377800,114
1613378700,91
1613379600,141
1613380500,124
1613381400,112
1613382300,42
1613383200,469
1613384100,375
1613385000,518
1613385900,661
1613386800,478
1613387700,385
1613388600,558
1613389500,198
1613390400,126
1613391300,128
1613392200,96
1613393100,108
1613394000,98
1613394900,106
1613395800,101
1613396700,102
1613397600,105
1613398500,98
1613399400,38
1613400300,29
1613401200,34
1613402100,28
1613403000,93
1613403900,37
1613404800,36
1613405700,38
1613406600,130
1613407500,77
1613408400,40
1613409300,20
1613410200,71
1613411100,70
1613412000,137
1613412900,122
1613413800,118
1613414700,105
1613415600,97
1613416500,93
1613417400,25
1613418300,35
1613419200,27
1613420100,211
1613421000,112
1613421900,59
1613422800,24
1613423700,37
1613424600,64
1613425500,113
1613426400,87
1613427300,109
1613428200,49
1613429100,36
1613430000,26
1613430900,35
1613431800,21
1613432700,40
1613433600,47
1613434500,145
1613435400,118
1613436300,131
1613437200,114
1613438100,101
1613439000,27
1613439900,35
1613440800,24
1613441700,50
1613442600,97
1613443500,72
1613444400,35
1613445300,25
1613446200,36
1613447100,103
1613448000,230
1613448900,27
1613449800,34
1613450700,21
1613451600,40
1613452500,21
1613453400,33
1613454300,28
1613455200,69
1613456100,186
1613457000,206
1613457900,487
1613458800,185
1613459700,173
1613460600,165
1613461500,187
1613462400,1457
1613463300,816
1613464200,425
1613465100,622
1613466000,405
1613466900,706
1613467800,240
1613468700,388
1613469600,320
1613470500,377
1613471400,210
1613472300,123
1613473200,57
1613474100,63
1613475000,46
1613475900,65
1613476800,89
1613477700,108
1613478600,36
1613479500,36
1613480400,20
1613481300,99
1613482200,86
1613483100,37
1613484000,92
1613484900,106
1613485800,157
1613486700,141
1613487600,85
1613488500,103
1613489400,151
1613490300,169
1613491200,98
1613492100,136
1613493000,116
1613493900,171
1613494800,117
1613495700,97
1613496600,89
1613497500,129
1613498400,160
1613499300,164
1613500200,121
1613501100,95
1613502000,93
1613502900,153
1613503800,162
1613504700,101
1613505600,101
1613506500,93
1613507400,163
1613508300,129
1613509200,260
1613510100,90
1613511000,160
1613511900,127
1613512800,97
1613513700,90
1613514600,160
1613515500,117
1613516400,122
1613517300,96
1613518200,98
1613519100,89
1613520000,128
1613520900,159
1613521800,169
1613522700,166
1613523600,115
1613524500,86
1613525400,106
1613526300,147
1613527200,166
1613528100,89
1613529000,104
1613529900,265
1613530800,169
1613531700,109
1613532600,121
1613533500,123
1613534400,199
1613535300,117
1613536200,100
1613537100,93
1613538000,100
1613538900,86
1613539800,101
1613540700,91
1613541600,126
1613542500,154
1613543400,176
1613544300,152
1613545200,117
1613546100,93
1613547000,101
1613547900,141
1613548800,296
1613549700,868
1613550600,931
1613551500,1611
1613552400,1736
1613553300,1449
1613554200,1246
1613555100,1636
1613556000,1820
1613556900,1652
1613557800,1075
1613558700,1386
1613559600,1824
1613560500,954
1613561400,1212
1613562300,1582
1613563200,1762
1613564100,1355
1613565000,1293
1613565900,752
1613566800,495
1613567700,185
1613568600,117
1613569500,130
1613570400,268
1613571300,126
1613572200,1138
1613573100,948
1613574000,1260
1613574900,1400
1613575800,1398
1613576700,1368
1613577600,1608
1613578500,1737
1613579400,1319
1613580300,1491
1613581200,1586
1613582100,1670
1613583000,1370
1613583900,2416
1613584800,3376
1613585700,1453
1613586600,1967
1613587500,1819
1613588400,1594
1613589300,1444
1613590200,1583
1613591100,1625
1613592000,1506
1613592900,1408
1613593800,1714
1613594700,1217
1613595600,905
1613596500,950
1613597400,820
1613598300,758
1613599200,505
1613600100,308
1613601000,166
1613601900,23
1613602800,41
1613603700,25
1613604600,35
1613605500,30
1613606400,54
1613607300,107
1613608200,103
1613609100,99
1613610000,110
1613610900,99
1613611800,109
1613612700,99
1613613600,118
1613614500,136
1613615400,126
1613616300,129
1613617200,112
1613618100,96
1613619000,108
1613619900,97
1613620800,99
1613621700,58
1613622600,28
1613623500,31
1613624400,32
1613625300,27
1613626200,37
1613627100,25
1613628000,53
1613628900,103
1613629800,100
1613630700,92
1613631600,104
1613632500,23
1613633400,34
1613634300,28
1613635200,90
1613636100,129
1613637000,81
1613637900,25
1613638800,42
1613639700,66
1613640600,104
1613641500,536
1613642400,376
1613643300,602
1613644200,621
1613645100,557
1613646000,529
1613646900,568
1613647800,204
1613648700,261
1613649600,268
1613650500,154
1613651400,135
1613652300,127
1613653200,139
1613654100,122
1613655000,138
1613655900,128
1613656800,131
1613657700,131
1613658600,1466
1613659500,2063
1613660400,1644
1613661300,1613
1613662200,1690
1613663100,1040
1613664000,1822
1613664900,1366
1613665800,1740
1613666700,1697
1613667600,1425
1613668500,1145
1613669400,981
1613670300,1078
1613671200,1185
1613672100,1021
1613673000,1148
1613673900,1387
1613674800,1372
1613675700,1304
1613676600,1524
1613677500,1399
1613678400,1262
1613679300,1289
1613680200,952
1613681100,891
1613682000,691
1613682900,866
1613683800,787
1613684700,685
1613685600,808
1613686500,610
1613687400,601
1613688300,650
1613689200,70
1613690100,25
1613691000,49
1613691900,30
1613692800,68
1613693700,105
1613694600,115
1613695500,103
1613696400,114
1613697300,102
1613698200,115
1613699100,103
1613700000,115
1613700900,103
1613701800,114
1613702700,104
1613703600,111
1613704500,106
1613705400,110
1613706300,105
1613707200,111
1613708100,136
1613709000,112
1613709900,44
1613710800,37
1613711700,34
1613712600,39
1613713500,29
1613714400,68
1613715300,100
1613716200,115
1613717100,99
1613718000,82
1613718900,29
1613719800,44
1613720700,29
1613721600,97
1613722500,126
1613723400,135
1613724300,134
1613725200,132
1613726100,126
1613727000,106
1613727900,326
1613728800,477
1613729700,240
1613730600,109
1613731500,145
1613732400,82
1613733300,26
1613734200,35
1613735100,43
1613736000,107
1613736900,94
1613737800,37
1613738700,24
1613739600,37
1613740500,58
1613741400,131
1613742300,118
1613743200,219
1613744100,789
1613745000,1835
1613745900,1292
1613746800,1178
1613747700,1406
1613748600,1413
1613749500,1590
1613750400,1418
1613751300,1393
1613752200,1440
1613753100,1322
1613754000,1276
1613754900,932
1613755800,1654
1613756700,1199
1613757600,1678
1613758500,1515
1613759400,1138
1613760300,967
1613761200,1323
1613762100,1421
1613763000,1244
1613763900,2641
1613764800,1709
1613765700,1620
1613766600,1523
1613767500,1761
1613768400,1497
1613769300,1090
1613770200,2072
1613771100,973
1613772000,1198
1613772900,908
1613773800,1079
1613774700,712
1613775600,800
1613776500,761
1613777400,753
1613778300,552
1613779200,534
1613780100,407
1613781000,582
1613781900,327
1613782800,203
1613783700,113
1613784600,97
1613785500,111
1613786400,100
1613787300,108
1613788200,101
1613789100,105
1613790000,116
1613790900,124
1613791800,137
1613792700,120
1613793600,113
1613794500,90
1613795400,91
1613796300,19
1613797200,41
1613798100,20
1613799000,37
1613799900,26
1613800800,62
1613801700,96
1613802600,108
1613803500,92
1613804400,111
1613805300,58
1613806200,44
1613807100,19
1613808000,57
1613808900,110
1613809800,136
1613810700,123
1613811600,132
1613812500,122
1613813400,193
1613814300,487
1613815200,517
1613816100,581
1613817000,485
1613817900,418
1613818800,225
1613819700,402
1613820600,164
1613821500,65
1613822400,144
1613823300,115
1613824200,114
1613825100,100
1613826000,113
1613826900,102
1613827800,140
1613828700,112
1613829600,168
1613830500,271
1613831400,1198
1613832300,1275
1613833200,1176
1613834100,1525
1613835000,1602
1613835900,1551
1613836800,1739
1613837700,1475
1613838600,1159
1613839500,1393
1613840400,1205
1613841300,1040
1613842200,1862
1613843100,1136
1613844000,1415
1613844900,1352
1613845800,1457
1613846700,1304
1613847600,1676
1613848500,1386
1613849400,1645
1613850300,1647
1613851200,1249
1613852100,1650
1613853000,1080
1613853900,1749
1613854800,1654
1613855700,1420
1613856600,1633
1613857500,1138
1613858400,1036
1613859300,898
1613860200,962
1613861100,618
1613862000,741
1613862900,730
1613863800,614
1613864700,78
1613865600,86
1613866500,146
1613867400,132
1613868300,147
1613869200,131
1613870100,148
1613871000,131
1613871900,146
1613872800,134
1613873700,145
1613874600,133
1613875500,145
1613876400,133
1613877300,144
1613878200,133
1613879100,144
1613880000,132
1613880900,143
1613881800,105
1613882700,70
1613883600,57
1613884500,69
1613885400,58
1613886300,70
1613887200,82
1613888100,143
1613889000,131
1613889900,142
1613890800,131
1613891700,142
1613892600,130
1613893500,141
1613894400,130
1613895300,140
1613896200,131
1613897100,139
1613898000,131
1613898900,139
1613899800,129
1613900700,139
1613901600,128
1613902500,602
1613903400,405
1613904300,571
1613905200,513
1613906100,220
1613907000,261
1613907900,83
1613908800,97
1613909700,109
1613910600,126
1613911500,360
1613912400,104
1613913300,108
1613914200,108
1613915100,104
1613916000,109
1613916900,113
1613917800,828
1613918700,1414
1613919600,1179
1613920500,1119
1613921400,1589
1613922300,1520
1613923200,1511
1613924100,1719
1613925000,1136
1613925900,1354
1613926800,1387
1613927700,1211
1613928600,1238
1613929500,1266
1613930400,1733
1613931300,1492
1613932200,1628
1613933100,1262
1613934000,1609
1613934900,1379
1613935800,1597
1613936700,1529
1613937600,1327
1613938500,1102
1613939400,1224
1613940300,1301
1613941200,975
1613942100,853
1613943000,240
1613943900,141
1613944800,121
1613945700,143
1613946600,91
1613947500,71
1613948400,44
1613949300,70
1613950200,44
1613951100,70
1613952000,66
1613952900,143
1613953800,115
1613954700,140
1613955600,115
1613956500,138
1613957400,91
1613958300,116
1613959200,91
1613960100,117
1613961000,90
1613961900,117
1613962800,90
1613963700,116
1613964600,90
1613965500,115
1613966400,91
1613967300,117
1613968200,66
1613969100,45
1613970000,19
1613970900,42
1613971800,22
1613972700,37
1613973600,53
1613974500,106
1613975400,100
1613976300,103
1613977200,186
1613978100,726
1613979000,303
1613979900,349
1613980800,507
1613981700,441
1613982600,555
1613983500,351
1613984400,237
1613985300,549
1613986200,120
1613987100,103
1613988000,105
1613988900,133
1613989800,129
1613990700,109
1613991600,57
1613992500,57
1613993400,57
1613994300,73
1613995200,128
1613996100,129
1613997000,229
1613997900,242
1613998800,219
1613999700,134
1614000600,134
1614001500,133
1614002400,135
1614003300,132
1614004200,139
1614005100,127
1614006000,142
1614006900,1097
1614007800,1520
1614008700,1204
1614009600,1462
1614010500,1436
1614011400,1367
1614012300,1421
1614013200,1520
1614014100,1644
1614015000,1684
1614015900,1370
1614016800,1804
1614017700,1650
1614018600,1440
1614019500,1554
1614020400,1711
1614021300,1783
1614022200,1386
1614023100,1340
1614024000,807
1614024900,854
1614025800,709
1614026700,675
1614027600,824
1614028500,669
1614029400,925
1614030300,719
1614031200,701
1614032100,872
1614033000,772
1614033900,568
1614034800,735
1614035700,534
1614036600,490
1614037500,445
1614038400,272
1614039300,317
1614040200,292
1614041100,386
1614042000,122
1614042900,103
1614043800,109
1614044700,103
1614045600,109
1614046500,102
1614047400,108
1614048300,101
1614049200,110
1614050100,100
1614051000,111
1614051900,98
1614052800,109
1614053700,98
1614054600,85
1614055500,26
1614056400,37
1614057300,27
1614058200,37
1614059100,25
1614060000,61
1614060900,97
1614061800,110
1614062700,97
1614063600,533
1614064500,461
1614065400,729
1614066300,325
1614067200,222
1614068100,209
1614069000,221
1614069900,204
1614070800,227
1614071700,168
1614072600,143
1614073500,117
1614074400,143
1614075300,121
1614076200,138
1614077100,105
1614078000,61
1614078900,51
1614079800,85
1614080700,70
1614081600,133
1614082500,124
1614083400,133
1614084300,122
1614085200,135
1614086100,119
1614087000,136
1614087900,118
1614088800,136
1614089700,116
1614090600,112
1614091500,354
1614092400,1644
1614093300,1166
1614094200,1323
1614095100,1556
1614096000,1663
1614096900,1369
1614097800,1386
1614098700,1365
1614099600,1103
1614100500,1452
1614101400,1219
1614102300,1369
1614103200,1330
1614104100,1209
1614105000,1214
1614105900,1357
1614106800,1632
1614107700,1440
1614108600,1308
1614109500,1418
1614110400,1049
1614111300,1471
1614112200,773
1614113100,767
1614114000,883
1614114900,831
1614115800,610
1614116700,645
1614117600,797
1614118500,494
1614119400,283
1614120300,173
1614121200,173
1614122100,162
1614123000,174
1614123900,160
1614124800,196
1614125700,235
1614126600,242
1614127500,240
1614128400,148
1614129300,132
1614130200,125
1614131100,136
1614132000,122
1614132900,138
1614133800,114
1614134700,114
1614135600,94
1614136500,115
1614137400,93
1614138300,114
1614139200,91
1614140100,112
1614141000,68
1614141900,39
1614142800,24
1614143700,37
1614144600,25
1614145500,37
1614146400,49
1614147300,110
1614148200,96
1614149100,112
1614150000,277
1614150900,727
1614151800,385
1614152700,572
1614153600,251
1614154500,431
1614155400,435
1614156300,358
1614157200,331
1614158100,357
1614159000,331
1614159900,358
1614160800,333
1614161700,359
1614162600,334
1614163500,336
1614164400,263
1614165300,279
1614166200,305
1614167100,102
1614168000,118
1614168900,148
1614169800,118
1614170700,137
1614171600,222
1614172500,262
1614173400,251
1614174300,267
1614175200,244
1614176100,147
1614177000,114
1614177900,140
1614178800,117
1614179700,137
1614180600,121
1614181500,132
1614182400,125
1614183300,146
1614184200,120
1614185100,111
1614186000,50
1614186900,62
1614187800,40
1614188700,63
1614189600,94
1614190500,110
1614191400,91
1614192300,65
1614193200,22
1614194100,41
1614195000,24
1614195900,111
1614196800,92
1614197700,107
1614198600,94
1614199500,108
1614200400,94
1614201300,86
1614202200,25
1614203100,37
1614204000,24
1614204900,37
1614205800,66
1614206700,37
1614207600,25
1614208500,36
1614209400,19
1614210300,42
1614211200,42
1614212100,112
1614213000,44
1614213900,39
1614214800,25
1614215700,104
1614216600,82
1614217500,30
1614218400,32
1614219300,50
1614220200,94
1614221100,57
1614222000,26
1614222900,34
1614223800,78
1614224700,82
1614225600,36
1614226500,25
1614227400,28
1614228300,39
1614229200,60
1614230100,56
1614231000,56
1614231900,47
1614232800,92
1614233700,116
1614234600,129
1614235500,121
1614236400,129
1614237300,115
1614238200,123
1614239100,43
1614240000,65
1614240900,45
1614241800,82
1614242700,120
1614243600,61
1614244500,43
1614245400,67
1614246300,109
1614247200,180
1614248100,192
1614249000,202
1614249900,161
1614250800,137
1614251700,62
1614252600,81
1614253500,73
1614254400,128
1614255300,126
1614256200,126
1614257100,118
1614258000,133
1614258900,136
1614259800,763
1614260700,1141
1614261600,1146
1614262500,2009
1614263400,1702
1614264300,2296
1614265200,1997
1614266100,1548
1614267000,1342
1614267900,1456
1614268800,1323
1614269700,1234
1614270600,1178
1614271500,1335
1614272400,1432
1614273300,1098
1614274200,1203
1614275100,1377
1614276000,1420
1614276900,1716
1614277800,1460
1614278700,1214
1614279600,1145
1614280500,1338
1614281400,1509
1614282300,1899
1614283200,1500
1614284100,1531
1614285000,1393
1614285900,1301
1614286800,1338
1614287700,1453
1614288600,1491
1614289500,1022
1614290400,767
1614291300,933
1614292200,752
1614293100,842
1614294000,948
1614294900,937
1614295800,507
1614296700,562
1614297600,250
1614298500,124
1614299400,142
1614300300,120
1614301200,143
1614302100,118
1614303000,137
1614303900,93
1614304800,120
1614305700,93
1614306600,116
1614307500,97
1614308400,110
1614309300,104
1614310200,107
1614311100,106
1614312000,104
1614312900,107
1614313800,75
1614314700,37
1614315600,27
1614316500,37
1614317400,26
1614318300,33
1614319200,53
1614320100,109
1614321000,100
1614321900,142
1614322800,696
1614323700,524
1614324600,457
1614325500,625
