timestamp,power
1613343600,95
1613344500,75
1613345400,72
1613346300,78
1613347200,129
1613348100,304
1613349000,203
1613349900,185
1613350800,172
1613351700,158
1613352600,147
1613353500,146
1613354400,130
1613355300,109
1613356200,102
1613357100,122
1613358000,120
1613358900,106
1613359800,89
1613360700,99
1613361600,88
1613362500,79
1613363400,75
1613364300,130
1613365200,129
1613366100,106
1613367000,147
1613367900,167
1613368800,144
1613369700,139
1613370600,161
1613371500,185
1613372400,166
1613373300,172
1613374200,180
1613375100,206
1613376000,190
1613376900,206
1613377800,209
1613378700,232
1613379600,236
1613380500,226
1613381400,198
1613382300,233
1613383200,236
1613384100,215
1613385000,202
1613385900,229
1613386800,174
1613387700,139
1613388600,113
1613389500,138
1613390400,120
1613391300,120
1613392200,102
1613393100,125
1613394000,103
1613394900,105
1613395800,119
1613396700,131
1613397600,93
1613398500,103
1613399400,105
1613400300,123
1613401200,127
1613402100,112
1613403000,119
1613403900,145
1613404800,167
1613405700,236
1613406600,260
1613407500,234
1613408400,669
1613409300,489
1613410200,465
1613411100,444
1613412000,433
1613412900,457
1613413800,421
1613414700,312
1613415600,292
1613416500,269
1613417400,305
1613418300,178
1613419200,83
1613420100,81
1613421000,103
1613421900,81
1613422800,90
1613423700,82
1613424600,90
1613425500,69
1613426400,67
1613427300,68
1613428200,104
1613429100,81
1613430000,69
1613430900,67
1613431800,87
1613432700,68
1613433600,93
1613434500,194
1613435400,161
1613436300,135
1613437200,110
1613438100,108
1613439000,139
1613439900,104
1613440800,102
1613441700,92
1613442600,106
1613443500,89
1613444400,102
1613445300,99
1613446200,107
1613447100,90
1613448000,97
1613448900,87
1613449800,137
1613450700,102
1613451600,87
1613452500,87
1613453400,108
1613454300,89
1613455200,100
1613456100,102
1613457000,108
1613457900,162
1613458800,158
1613459700,167
1613460600,215
1613461500,196
1613462400,193
1613463300,198
1613464200,236
1613465100,189
1613466000,225
1613466900,245
1613467800,231
1613468700,209
1613469600,187
1613470500,216
1613471400,229
1613472300,193
1613473200,181
1613474100,221
1613475000,205
1613475900,200
1613476800,201
1613477700,221
1613478600,224
1613479500,202
1613480400,208
1613481300,229
1613482200,196
1613483100,153
1613484000,132
1613484900,150
1613485800,138
1613486700,113
1613487600,128
1613488500,193
1613489400,175
1613490300,346
1613491200,207
1613492100,255
1613493000,223
1613493900,304
1613494800,379
1613495700,403
1613496600,325
1613497500,293
1613498400,343
1613499300,259
1613500200,249
1613501100,184
1613502000,200
1613502900,107
1613503800,106
1613504700,114
1613505600,123
1613506500,50
1613507400,51
1613508300,57
1613509200,70
1613510100,58
1613511000,56
1613511900,55
1613512800,55
1613513700,43
1613514600,45
1613515500,71
1613516400,65
1613517300,44
1613518200,40
1613519100,62
1613520000,44
1613520900,188
1613521800,135
1613522700,142
1613523600,91
1613524500,91
1613525400,89
1613526300,116
1613527200,94
1613528100,69
1613529000,72
1613529900,92
1613530800,69
1613531700,73
1613532600,89
1613533500,187
1613534400,160
1613535300,163
1613536200,99
1613537100,93
1613538000,117
1613538900,152
1613539800,149
1613540700,145
1613541600,136
1613542500,128
1613543400,242
1613544300,225
1613545200,183
1613546100,184
1613547000,175
1613547900,181
1613548800,169
1613549700,196
1613550600,189
1613551500,192
1613552400,213
1613553300,225
1613554200,215
1613555100,195
1613556000,240
1613556900,322
1613557800,743
1613558700,295
1613559600,594
1613560500,815
1613561400,728
1613562300,242
1613563200,154
1613564100,198
1613565000,159
1613565900,173
1613566800,111
1613567700,117
1613568600,268
1613569500,1192
1613570400,1046
1613571300,540
1613572200,496
1613573100,502
1613574000,372
1613574900,1733
1613575800,872
1613576700,738
1613577600,742
1613578500,606
1613579400,604
1613580300,616
1613581200,634
1613582100,508
1613583000,347
1613583900,263
1613584800,194
1613585700,131
1613586600,159
1613587500,153
1613588400,180
1613589300,116
1613590200,93
1613591100,70
1613592000,81
1613592900,89
1613593800,88
1613594700,69
