timestamp,power
1613343600,65
1613344500,59
1613345400,67
1613346300,69
1613347200,65
1613348100,54
1613349000,47
1613349900,58
1613350800,71
1613351700,53
1613352600,48
1613353500,52
1613354400,59
1613355300,72
1613356200,64
1613357100,50
1613358000,60
1613358900,52
1613359800,55
1613360700,62
1613361600,55
1613362500,58
1613363400,48
1613364300,57
1613365200,81
1613366100,64
1613367000,56
1613367900,55
1613368800,55
1613369700,67
1613370600,71
1613371500,73
1613372400,85
1613373300,93
1613374200,73
1613375100,182
1613376000,154
1613376900,76
1613377800,54
1613378700,47
1613379600,52
1613380500,73
1613381400,69
1613382300,68
1613383200,56
1613384100,57
1613385000,96
1613385900,56
1613386800,48
1613387700,50
1613388600,115
1613389500,88
1613390400,80
1613391300,85
1613392200,89
1613393100,77
1613394000,73
1613394900,81
1613395800,83
1613396700,87
1613397600,75
1613398500,79
1613399400,94
1613400300,98
1613401200,187
1613402100,334
1613403000,101
1613403900,179
1613404800,74
1613405700,71
1613406600,80
1613407500,91
1613408400,90
1613409300,89
1613410200,107
1613411100,105
1613412000,81
1613412900,73
1613413800,102
1613414700,100
1613415600,100
1613416500,83
1613417400,92
1613418300,87
1613419200,124
1613420100,91
1613421000,90
1613421900,89
1613422800,91
1613423700,82
1613424600,80
1613425500,72
1613426400,75
1613427300,83
1613428200,60
1613429100,68
1613430000,66
1613430900,78
1613431800,66
1613432700,53
1613433600,56
1613434500,66
1613435400,57
1613436300,47
1613437200,48
1613438100,54
1613439000,77
1613439900,65
1613440800,54
1613441700,47
1613442600,62
1613443500,62
1613444400,59
1613445300,52
1613446200,52
1613447100,59
1613448000,54
1613448900,67
1613449800,69
1613450700,62
1613451600,50
1613452500,49
1613453400,57
1613454300,68
1613455200,75
1613456100,54
1613457000,54
1613457900,60
1613458800,74
1613459700,73
1613460600,116
1613461500,74
1613462400,65
1613463300,54
1613464200,56
1613465100,55
1613466000,139
1613466900,155
1613467800,47
1613468700,56
1613469600,74
1613470500,74
1613471400,54
1613472300,49
1613473200,71
1613474100,89
1613475000,73
1613475900,117
1613476800,185
1613477700,74
1613478600,106
1613479500,276
1613480400,66
1613481300,66
1613482200,77
1613483100,73
1613484000,72
1613484900,65
1613485800,72
1613486700,73
1613487600,64
1613488500,79
1613489400,63
1613490300,76
1613491200,64
1613492100,81
1613493000,86
1613493900,83
1613494800,105
1613495700,87
1613496600,103
1613497500,93
1613498400,142
1613499300,78
1613500200,76
1613501100,81
1613502000,84
1613502900,82
1613503800,84
1613504700,80
1613505600,92
1613506500,104
1613507400,90
1613508300,104
1613509200,89
1613510100,84
1613511000,76
1613511900,71
1613512800,75
1613513700,91
1613514600,80
1613515500,73
1613516400,76
1613517300,92
1613518200,93
1613519100,72
1613520000,52
1613520900,48
1613521800,67
1613522700,56
1613523600,57
1613524500,52
1613525400,57
1613526300,60
1613527200,60
1613528100,59
1613529000,69
1613529900,60
1613530800,53
1613531700,54
1613532600,49
1613533500,64
1613534400,62
1613535300,52
1613536200,57
1613537100,55
1613538000,68
1613538900,67
1613539800,61
1613540700,57
1613541600,66
1613542500,57
1613543400,71
1613544300,101
1613545200,99
1613546100,64
1613547000,57
1613547900,151
1613548800,183
1613549700,81
1613550600,139
1613551500,130
1613552400,65
1613553300,258
1613554200,715
1613555100,476
1613556000,104
1613556900,124
1613557800,120
1613558700,91
1613559600,92
1613560500,67
1613561400,77
1613562300,198
1613563200,108
1613564100,74
1613565000,507
1613565900,142
1613566800,153
1613567700,98
1613568600,110
1613569500,116
1613570400,87
1613571300,74
1613572200,68
1613573100,100
1613574000,95
1613574900,74
1613575800,75
1613576700,82
1613577600,60
1613578500,66
1613579400,98
1613580300,77
1613581200,99
1613582100,121
1613583000,113
1613583900,125
1613584800,134
1613585700,120
1613586600,112
1613587500,119
1613588400,119
1613589300,131
1613590200,94
1613591100,82
1613592000,82
1613592900,97
1613593800,97
1613594700,97
1613595600,76
1613596500,79
1613597400,80
1613598300,73
1613599200,86
1613600100,91
1613601000,84
1613601900,73
1613602800,61
1613603700,59
1613604600,74
1613605500,67
1613606400,48
1613607300,48
1613608200,55
1613609100,67
1613610000,74
1613610900,56
1613611800,49
1613612700,60
1613613600,60
1613614500,51
1613615400,59
1613616300,59
1613617200,62
1613618100,49
1613619000,49
1613619900,64
1613620800,77
1613621700,57
1613622600,54
1613623500,48
1613624400,60
1613625300,59
1613626200,63
1613627100,56
1613628000,61
1613628900,61
1613629800,64
1613630700,94
1613631600,91
1613632500,71
1613633400,171
1613634300,155
1613635200,267
1613636100,198
1613637000,57
1613637900,52
