timestamp,power,heat
1613343600,158,0
1613344500,161,0
1613345400,169,0
1613346300,177,0
1613347200,160,0
1613348100,161,0
1613349000,158,0
1613349900,178,0
1613350800,182,0
1613351700,160,0
1613352600,160,0
1613353500,162,0
1613354400,180,0
1613355300,161,0
1613356200,159,0
1613357100,161,0
1613358000,170,0
1613358900,174,0
1613359800,174,0
1613360700,158,0
1613361600,160,0
1613362500,180,0
1613363400,166,0
1613364300,159,0
1613365200,160,0
1613366100,167,395
1613367000,178,395
1613367900,240,395
1613368800,248,395
1613369700,940,395
1613370600,879,351
1613371500,874,327
1613372400,887,324
1613373300,856,323
1613374200,862,323
1613375100,901,323
1613376000,963,323
1613376900,976,323
1613377800,942,323
1613378700,825,323
1613379600,854,322
1613380500,848,322
1613381400,911,322
1613382300,833,322
1613383200,814,322
1613384100,822,322
1613385000,805,322
1613385900,788,322
1613386800,808,322
1613387700,795,321
1613388600,681,321
1613389500,630,321
1613390400,640,321
1613391300,626,307
1613392200,687,329
1613393100,757,324
1613394000,782,321
1613394900,778,321
1613395800,733,321
1613396700,736,321
1613397600,795,320
1613398500,847,320
1613399400,856,320
1613400300,828,320
1613401200,836,320
1613402100,870,320
1613403000,1080,320
1613403900,628,274
1613404800,681,0
1613405700,170,0
1613406600,158,0
1613407500,159,0
1613408400,173,0
1613409300,173,0
1613410200,158,0
1613411100,161,0
1613412000,167,0
1613412900,194,0
1613413800,159,0
1613414700,159,0
1613415600,163,0
1613416500,181,0
1613417400,163,0
1613418300,159,0
1613419200,159,0
1613420100,178,0
1613421000,169,0
1613421900,158,0
1613422800,177,0
1613423700,169,0
1613424600,289,30
1613425500,164,293
1613426400,163,152
1613427300,164,0
1613428200,183,0
1613429100,166,0
1613430000,163,0
1613430900,162,0
1613431800,178,0
1613432700,191,0
1613433600,159,0
1613434500,160,0
1613435400,166,0
1613436300,180,0
1613437200,159,0
1613438100,160,0
1613439000,159,0
1613439900,178,0
1613440800,167,0
1613441700,159,0
1613442600,160,0
1613443500,168,0
1613444400,192,0
1613445300,159,0
1613446200,159,0
1613447100,158,0
1613448000,181,0
1613448900,166,0
1613449800,159,0
1613450700,159,0
1613451600,250,0
1613452500,175,395
1613453400,174,395
1613454300,161,395
1613455200,159,395
1613456100,179,394
1613457000,166,346
1613457900,160,326
1613458800,160,323
1613459700,171,322
1613460600,176,322
1613461500,160,322
1613462400,159,322
1613463300,207,322
1613464200,179,322
1613465100,165,322
1613466000,162,320
1613466900,368,323
1613467800,187,318
1613468700,207,324
1613469600,474,322
1613470500,398,321
1613471400,194,307
1613472300,194,0
1613473200,168,0
1613474100,159,0
1613475000,158,0
1613475900,168,0
1613476800,177,0
1613477700,159,0
1613478600,159,0
1613479500,160,0
1613480400,195,0
1613481300,167,0
1613482200,158,0
1613483100,159,0
1613484000,169,0
1613484900,180,0
1613485800,160,149
1613486700,159,133
1613487600,159,83
1613488500,179,86
1613489400,168,87
1613490300,159,92
1613491200,176,102
1613492100,168,113
1613493000,178,114
1613493900,238,395
1613494800,159,387
1613495700,159,0
1613496600,178,0
1613497500,168,0
1613498400,160,0
1613499300,159,0
1613500200,167,60
1613501100,194,395
1613502000,188,395
1613502900,159,384
1613503800,160,0
1613504700,177,0
1613505600,170,0
1613506500,159,0
1613507400,159,0
1613508300,167,0
1613509200,181,395
1613510100,160,395
1613511000,180,395
1613511900,164,381
1613512800,183,378
1613513700,170,0
1613514600,161,0
1613515500,161,0
1613516400,172,0
1613517300,180,0
1613518200,162,0
1613519100,160,0
1613520000,226,0
1613520900,196,0
1613521800,164,0
1613522700,176,0
1613523600,159,0
1613524500,169,0
1613525400,175,0
1613526300,159,0
1613527200,159,0
1613528100,160,0
1613529000,180,0
1613529900,165,0
1613530800,159,0
1613531700,175,0
1613532600,168,0
1613533500,177,0
1613534400,159,0
1613535300,160,0
1613536200,159,0
1613537100,179,0
1613538000,196,0
1613538900,159,395
1613539800,158,395
1613540700,183,395
1613541600,385,395
1613542500,817,389
1613543400,1043,338
1613544300,969,323
1613545200,1134,321
1613546100,1240,321
1613547000,1251,321
1613547900,1144,321
1613548800,1143,321
1613549700,1161,320
1613550600,1038,320
1613551500,1030,320
1613552400,1039,320
1613553300,1171,320
1613554200,1075,320
1613555100,1145,319
1613556000,1049,319
1613556900,926,319
1613557800,891,319
1613558700,839,318
1613559600,786,318
1613560500,768,318
1613561400,807,318
1613562300,565,251
1613563200,595,0
1613564100,813,313
1613565000,816,395
1613565900,736,379
1613566800,573,249
1613567700,625,0
1613568600,552,0
1613569500,580,0
1613570400,579,0
1613571300,601,0
1613572200,614,0
1613573100,618,0
1613574000,810,307
1613574900,819,395
1613575800,711,395
1613576700,588,292
1613577600,479,0
1613578500,374,0
1613579400,184,0
1613580300,170,0
1613581200,174,0
1613582100,162,0
1613583000,153,0
1613583900,155,0
1613584800,204,0
1613585700,161,0
1613586600,154,0
1613587500,154,0
1613588400,176,0
1613589300,162,0
1613590200,154,0
1613591100,154,0
1613592000,175,0
1613592900,162,0
1613593800,154,0
1613594700,155,0
1613595600,173,0
1613596500,166,0
1613597400,239,0
1613598300,158,0
1613599200,172,0
1613600100,173,0
1613601000,155,0
1613601900,157,0
1613602800,179,0
1613603700,178,0
1613604600,156,0
1613605500,155,0
1613606400,154,0
1613607300,206,0
1613608200,159,0
1613609100,155,0
1613610000,154,0
1613610900,171,0
1613611800,164,0
1613612700,181,0
1613613600,154,0
1613614500,165,0
1613615400,172,0
1613616300,154,0
1613617200,154,0
1613618100,155,0
1613619000,176,0
1613619900,159,0
1613620800,154,0
1613621700,154,0
1613622600,170,0
1613623500,167,0
1613624400,154,0
1613625300,234,394
1613626200,161,170
