timestamp,power
1613343600,279
1613344500,258
1613345400,244
1613346300,243
1613347200,216
1613348100,191
1613349000,204
1613349900,207
1613350800,237
1613351700,216
1613352600,208
1613353500,298
1613354400,235
1613355300,195
1613356200,190
1613357100,241
1613358000,204
1613358900,178
1613359800,188
1613360700,236
1613361600,203
1613362500,238
1613363400,226
1613364300,644
1613365200,248
1613366100,244
1613367000,246
1613367900,218
1613368800,203
1613369700,221
1613370600,383
1613371500,699
1613372400,302
1613373300,435
1613374200,494
1613375100,707
1613376000,234
1613376900,243
1613377800,733
1613378700,326
1613379600,219
1613380500,217
1613381400,248
1613382300,255
1613383200,261
1613384100,208
1613385000,214
1613385900,246
1613386800,281
1613387700,207
1613388600,316
1613389500,240
1613390400,225
1613391300,321
1613392200,489
1613393100,889
1613394000,676
1613394900,665
1613395800,761
1613396700,632
1613397600,657
1613398500,504
1613399400,796
1613400300,641
1613401200,274
1613402100,251
1613403000,270
1613403900,241
1613404800,206
1613405700,172
1613406600,197
1613407500,222
1613408400,284
1613409300,624
1613410200,671
1613411100,550
1613412000,479
1613412900,557
1613413800,526
1613414700,466
1613415600,765
1613416500,638
1613417400,452
1613418300,830
1613419200,1224
1613420100,765
1613421000,473
1613421900,727
1613422800,1382
1613423700,1094
1613424600,870
1613425500,799
1613426400,732
1613427300,597
1613428200,358
1613429100,268
1613430000,269
1613430900,221
1613431800,150
1613432700,205
1613433600,134
1613434500,125
1613435400,145
1613436300,106
1613437200,112
1613438100,189
1613439000,161
1613439900,133
1613440800,135
1613441700,164
1613442600,127
1613443500,178
1613444400,137
1613445300,149
1613446200,126
1613447100,137
1613448000,404
1613448900,477
1613449800,135
1613450700,131
1613451600,193
1613452500,324
1613453400,268
1613454300,249
1613455200,211
1613456100,155
1613457000,186
1613457900,148
1613458800,142
1613459700,180
1613460600,173
1613461500,679
1613462400,711
1613463300,187
1613464200,210
1613465100,965
1613466000,230
1613466900,251
1613467800,190
1613468700,180
1613469600,249
1613470500,186
1613471400,221
1613472300,287
1613473200,315
1613474100,276
1613475000,296
1613475900,316
1613476800,238
1613477700,203
