timestamp,power,heat
1613343600,351,0
1613344500,349,0
1613345400,349,0
1613346300,350,0
1613347200,349,0
1613348100,348,0
1613349000,351,0
1613349900,348,0
1613350800,351,0
1613351700,351,0
1613352600,349,0
1613353500,350,0
1613354400,350,0
1613355300,350,0
1613356200,349,0
1613357100,349,0
1613358000,351,0
1613358900,349,0
1613359800,350,0
1613360700,351,0
1613361600,350,0
1613362500,350,0
1613363400,349,0
1613364300,351,0
1613365200,349,0
1613366100,350,6320
1613367000,351,6320
1613367900,351,6320
1613368800,349,6320
1613369700,351,6320
1613370600,351,5712
1613371500,350,5248
1613372400,350,5184
1613373300,351,5184
1613374200,350,5184
1613375100,349,5184
1613376000,350,5184
1613376900,351,5168
1613377800,348,5168
1613378700,351,5168
1613379600,350,5168
1613380500,349,5168
1613381400,350,5168
1613382300,348,5168
1613383200,350,5168
1613384100,351,5168
1613385000,349,5168
1613385900,350,5168
1613386800,349,5168
1613387700,351,5152
1613388600,349,5152
1613389500,409,5152
1613390400,351,5152
1613391300,363,5152
1613392200,362,5152
1613393100,351,5152
1613394000,350,5152
1613394900,349,5152
1613395800,354,5152
1613396700,411,5152
1613397600,359,5152
1613398500,348,5040
1613399400,350,0
1613400300,350,0
1613401200,351,0
1613402100,349,304
1613403000,363,6320
1613403900,363,6320
1613404800,421,6320
1613405700,349,6128
1613406600,349,0
1613407500,363,6144
1613408400,360,6320
1613409300,351,5776
1613410200,352,0
1613411100,353,0
1613412000,352,0
1613412900,351,0
1613413800,352,0
1613414700,352,0
1613415600,358,6256
1613416500,390,6320
1613417400,374,6320
1613418300,351,6048
1613419200,351,0
1613420100,352,0
1613421000,352,0
1613421900,350,0
1613422800,351,0
1613423700,351,0
1613424600,350,0
1613425500,352,3408
1613426400,351,3136
1613427300,348,0
1613428200,353,0
1613429100,355,0
1613430000,352,0
1613430900,348,0
1613431800,349,0
1613432700,348,0
1613433600,351,0
1613434500,349,0
1613435400,350,0
1613436300,349,0
1613437200,350,0
1613438100,349,0
1613439000,348,0
1613439900,351,0
1613440800,350,0
1613441700,352,0
1613442600,349,0
1613443500,351,0
1613444400,350,0
1613445300,350,0
1613446200,349,0
1613447100,349,0
1613448000,351,0
1613448900,349,0
1613449800,350,0
1613450700,349,0
1613451600,349,0
1613452500,352,6320
1613453400,348,6320
1613454300,351,6320
1613455200,351,6320
1613456100,350,6304
1613457000,350,5520
1613457900,351,5200
1613458800,350,5168
1613459700,351,5152
1613460600,350,5152
1613461500,350,5152
1613462400,351,5152
1613463300,350,5152
1613464200,351,5152
1613465100,350,5152
1613466000,352,5152
1613466900,353,5152
1613467800,350,5056
1613468700,352,5200
1613469600,350,4992
1613470500,367,5232
1613471400,396,5168
1613472300,351,4848
1613473200,351,0
1613474100,350,0
1613475000,367,6000
1613475900,401,6320
1613476800,350,5808
1613477700,350,0
1613478600,350,0
1613479500,417,5840
1613480400,350,5728
1613481300,349,0
1613482200,351,0
1613483100,418,5744
1613484000,350,5648
1613484900,379,5616
1613485800,390,6320
1613486700,350,5312
1613487600,420,5376
1613488500,352,4608
1613489400,421,5264
1613490300,350,4512
1613491200,421,5216
1613492100,351,4480
1613493000,352,0
1613493900,352,0
1613494800,422,5248
1613495700,355,5184
1613496600,354,0
1613497500,360,0
1613498400,355,0
1613499300,419,5280
1613500200,354,5216
1613501100,356,0
1613502000,363,0
1613502900,420,5264
1613503800,362,5184
1613504700,352,0
1613505600,351,0
1613506500,354,0
1613507400,416,5280
1613508300,352,5216
1613509200,353,0
1613510100,351,0
1613511000,351,0
1613511900,415,5296
1613512800,351,5232
1613513700,349,0
1613514600,351,0
1613515500,352,0
1613516400,410,0
1613517300,354,0
1613518200,350,0
1613519100,348,0
1613520000,350,0
1613520900,349,0
1613521800,411,0
1613522700,349,0
1613523600,348,0
1613524500,350,0
1613525400,350,0
1613526300,350,0
1613527200,412,0
1613528100,349,0
1613529000,351,0
1613529900,349,0
1613530800,348,0
1613531700,412,0
1613532600,350,0
1613533500,350,0
1613534400,349,0
1613535300,350,0
1613536200,349,0
1613537100,411,0
1613538000,350,0
1613538900,350,0
1613539800,350,0
1613540700,350,0
1613541600,350,0
1613542500,410,0
1613543400,351,0
1613544300,353,0
1613545200,351,0
1613546100,354,0
1613547000,413,0
1613547900,348,0
1613548800,351,0
1613549700,358,0
1613550600,352,0
1613551500,415,0
1613552400,348,0
1613553300,351,0
1613554200,416,6208
1613555100,356,6080
1613556000,362,0
1613556900,431,6064
1613557800,363,5920
1613558700,431,5888
1613559600,362,5760
1613560500,431,5680
1613561400,359,4864
1613562300,367,0
1613563200,406,5632
1613564100,349,5520
1613565000,423,5504
1613565900,348,4992
1613566800,425,5312
1613567700,351,4544
1613568600,426,5216
1613569500,351,4464
1613570400,422,5152
1613571300,349,4448
1613572200,424,5072
1613573100,351,4432
1613574000,424,4976
1613574900,350,4416
1613575800,430,4896
1613576700,360,4416
1613577600,428,4816
1613578500,355,4416
1613579400,427,4736
1613580300,355,4400
1613581200,382,0
1613582100,405,4704
1613583000,362,4640
1613583900,427,4640
1613584800,361,4576
1613585700,418,4576
1613586600,358,4496
1613587500,359,0
1613588400,424,4544
1613589300,353,4496
1613590200,349,0
1613591100,417,4528
1613592000,350,4480
1613592900,350,0
1613593800,414,4512
1613594700,351,4464
1613595600,354,0
1613596500,424,4496
1613597400,353,4448
1613598300,351,0
1613599200,413,4480
1613600100,345,0
1613601000,351,0
1613601900,400,0
1613602800,369,0
1613603700,350,0
1613604600,348,0
1613605500,412,0
1613606400,350,0
1613607300,348,0
1613608200,371,0
1613609100,392,0
1613610000,348,0
1613610900,349,0
1613611800,414,0
1613612700,350,0
1613613600,349,0
1613614500,350,0
1613615400,414,0
1613616300,349,0
1613617200,351,0
1613618100,373,0
1613619000,392,0
1613619900,354,0
1613620800,349,0
1613621700,415,0
1613622600,350,0
1613623500,349,0
1613624400,409,0
1613625300,357,6320
