timestamp,power,heat
1613343600,382,0
1613344500,447,0
1613345400,528,0
1613346300,422,0
1613347200,597,0
1613348100,457,0
1613349000,556,0
1613349900,425,0
1613350800,551,0
1613351700,415,0
1613352600,513,0
1613353500,456,0
1613354400,451,0
1613355300,499,0
1613356200,397,0
1613357100,476,0
1613358000,471,0
1613358900,413,0
1613359800,492,0
1613360700,596,0
1613361600,435,0
1613362500,625,0
1613363400,416,0
1613364300,479,0
1613365200,598,0
1613366100,584,6320
1613367000,592,6320
1613367900,513,6320
1613368800,444,6320
1613369700,609,5712
1613370600,428,5136
1613371500,607,5072
1613372400,656,5056
1613373300,848,5056
1613374200,685,5056
1613375100,513,5056
1613376000,526,5056
1613376900,398,5040
1613377800,773,5040
1613378700,651,5040
1613379600,504,3424
1613380500,514,0
1613381400,799,4336
1613382300,436,4272
1613383200,1198,4272
1613384100,959,6320
1613385000,741,5824
1613385900,488,3312
1613386800,402,0
1613387700,450,0
1613388600,404,0
1613389500,488,0
1613390400,416,0
1613391300,446,0
1613392200,466,0
1613393100,407,0
1613394000,535,0
1613394900,380,0
1613395800,510,0
1613396700,441,0
1613397600,504,0
1613398500,508,0
1613399400,424,0
1613400300,528,4480
1613401200,448,4432
1613402100,498,0
1613403000,524,4432
1613403900,423,4384
1613404800,525,4368
1613405700,523,6320
1613406600,371,4240
1613407500,489,0
1613408400,587,4288
1613409300,429,4240
1613410200,639,4224
1613411100,499,4176
1613412000,671,4176
1613412900,436,4128
1613413800,639,4128
1613414700,515,4080
1613415600,555,4080
1613416500,637,6304
1613417400,426,3520
1613418300,628,3984
1613419200,550,6128
1613420100,526,3248
1613421000,607,3904
1613421900,475,3872
1613422800,534,3872
1613423700,568,6272
1613424600,499,3264
1613425500,640,3792
1613426400,421,3760
1613427300,543,0
1613428200,453,0
1613429100,499,0
1613430000,486,0
1613430900,387,0
1613431800,610,0
1613432700,414,0
1613433600,543,0
1613434500,572,0
1613435400,378,0
1613436300,750,0
1613437200,382,0
1613438100,542,0
1613439000,372,0
1613439900,639,0
1613440800,399,0
1613441700,502,0
1613442600,681,0
1613443500,438,0
1613444400,657,0
1613445300,387,0
1613446200,647,0
1613447100,491,0
1613448000,598,0
1613448900,554,0
1613449800,530,0
1613450700,399,0
1613451600,517,0
1613452500,740,6320
1613453400,620,6320
1613454300,506,6320
1613455200,851,6320
1613456100,373,5552
1613457000,762,5072
1613457900,857,5024
1613458800,481,5008
1613459700,584,5008
1613460600,663,5008
1613461500,420,4992
1613462400,477,4992
1613463300,614,4992
1613464200,446,4992
1613465100,502,4976
1613466000,425,2928
1613466900,549,3712
1613467800,493,3664
1613468700,419,0
1613469600,491,0
1613470500,410,0
1613471400,812,3744
1613472300,379,3696
1613473200,443,0
1613474100,415,0
1613475000,447,0
1613475900,411,0
1613476800,456,0
1613477700,374,0
1613478600,459,0
1613479500,343,0
1613480400,418,0
1613481300,363,0
1613482200,371,0
1613483100,409,0
1613484000,382,0
1613484900,367,0
1613485800,416,0
1613486700,331,0
1613487600,410,0
1613488500,389,0
1613489400,383,0
1613490300,402,0
1613491200,399,0
1613492100,436,0
1613493000,433,0
1613493900,398,0
1613494800,454,4096
1613495700,500,6320
1613496600,364,3968
1613497500,640,3952
1613498400,530,6320
1613499300,441,3824
1613500200,533,3824
1613501100,603,6320
1613502000,473,5456
1613502900,565,5024
1613503800,628,4976
1613504700,489,4960
1613505600,808,4960
1613506500,478,2720
1613507400,765,3488
1613508300,421,3440
1613509200,698,3456
1613510100,569,6320
1613511000,530,5584
1613511900,763,4992
1613512800,472,2560
1613513700,831,0
1613514600,546,0
1613515500,641,0
1613516400,487,0
1613517300,715,0
1613518200,545,0
1613519100,682,0
1613520000,877,0
1613520900,830,0
1613521800,855,0
1613522700,847,0
1613523600,839,0
1613524500,839,0
1613525400,839,0
1613526300,797,0
1613527200,834,0
1613528100,840,0
1613529000,836,0
1613529900,408,0
1613530800,775,0
1613531700,858,0
1613532600,795,0
1613533500,885,0
1613534400,846,0
1613535300,828,0
1613536200,794,0
1613537100,829,0
1613538000,932,0
1613538900,1005,6320
1613539800,882,6320
1613540700,842,6320
1613541600,824,6272
1613542500,391,5296
1613543400,590,4976
1613544300,600,4944
1613545200,848,4944
1613546100,707,4928
1613547000,524,4928
1613547900,652,4912
1613548800,523,4912
1613549700,732,4912
1613550600,424,4896
1613551500,752,4896
1613552400,386,2304
1613553300,556,0
1613554200,474,0
1613555100,483,0
1613556000,529,0
1613556900,329,0
1613557800,364,0
1613558700,301,0
1613559600,344,0
1613560500,285,0
1613561400,349,0
1613562300,289,0
1613563200,302,0
1613564100,329,0
1613565000,287,0
1613565900,320,0
1613566800,287,0
1613567700,303,0
1613568600,319,0
1613569500,302,0
1613570400,308,0
1613571300,301,0
1613572200,449,0
1613573100,439,0
1613574000,575,3360
1613574900,479,6320
1613575800,368,3232
1613576700,450,0
1613577600,422,0
1613578500,512,3264
1613579400,487,6320
1613580300,437,3136
1613581200,447,0
1613582100,505,3168
1613583000,456,3136
1613583900,616,3120
1613584800,506,6320
1613585700,463,3024
1613586600,549,3024
1613587500,535,6320
1613588400,431,2912
1613589300,544,2928
1613590200,496,6320
1613591100,533,5872
1613592000,575,4992
1613592900,458,2128
1613593800,541,2768
1613594700,577,6320
1613595600,432,2496
1613596500,551,2704
1613597400,494,6320
1613598300,519,5600
1613599200,545,4912
1613600100,435,0
1613601000,493,0
1613601900,495,0
1613602800,397,0
1613603700,527,0
1613604600,409,0
1613605500,461,0
1613606400,483,0
1613607300,387,0
1613608200,466,0
1613609100,486,0
1613610000,381,0
1613610900,510,0
1613611800,527,0
1613612700,392,0
1613613600,549,0
1613614500,478,0
1613615400,398,0
1613616300,499,0
1613617200,607,0
1613618100,405,0
1613619000,645,0
1613619900,387,0
1613620800,654,0
1613621700,445,0
1613622600,396,0
1613623500,468,0
1613624400,520,0
1613625300,561,6320
1613626200,495,6320
1613627100,491,6320
1613628000,498,6224
1613628900,476,5216
1613629800,441,4944
1613630700,452,4912
1613631600,431,4912
1613632500,497,4912
1613633400,454,4896
1613634300,378,4896
1613635200,477,4896
1613636100,378,4880
1613637000,470,4880
1613637900,426,4880
1613638800,388,2160
1613639700,436,0
1613640600,429,0
1613641500,399,0
1613642400,471,2880
1613643300,380,2848
1613644200,427,0
1613645100,374,0
1613646000,420,0
1613646900,366,0
1613647800,440,0
1613648700,373,0
1613649600,410,0
1613650500,382,0
1613651400,425,0
1613652300,364,0
1613653200,426,0
1613654100,385,0
1613655000,385,0
1613655900,412,0
1613656800,354,0
1613657700,405,0
1613658600,354,0
1613659500,435,3056
1613660400,421,6320
1613661300,369,2928
1613662200,415,0
1613663100,375,0
1613664000,444,2944
1613664900,456,6320
1613665800,365,2848
1613666700,440,2832
1613667600,525,6320
1613668500,457,6320
1613669400,537,5664
1613670300,448,4928
1613671200,440,4848
1613672100,462,4832
1613673000,487,4816
1613673900,432,1856
1613674800,504,2448
1613675700,477,6320
1613676600,459,5600
1613677500,482,4880
1613678400,525,4800
1613679300,497,4784
1613680200,475,4784
1613681100,448,1632
1613682000,349,0
1613682900,429,0
1613683800,390,0
1613684700,350,0
1613685600,400,0
1613686500,422,0
1613687400,397,0
1613688300,428,0
1613689200,458,0
1613690100,349,0
1613691000,436,0
1613691900,446,0
1613692800,342,0
1613693700,462,0
1613694600,428,0
1613695500,444,0
1613696400,449,0
1613697300,386,0
1613698200,453,0
1613699100,481,0
1613700000,334,0
1613700900,586,0
1613701800,377,0
1613702700,468,0
1613703600,488,0
1613704500,382,0
1613705400,454,0
1613706300,433,0
1613707200,436,0
1613708100,502,0
1613709000,431,0
1613709900,428,0
1613710800,559,0
1613711700,422,0
1613712600,483,0
1613713500,483,0
1613714400,337,0
1613715300,475,0
1613716200,478,0
1613717100,358,0
1613718000,438,0
1613718900,429,0
1613719800,345,0
1613720700,457,0
1613721600,377,0
1613722500,399,0
1613723400,405,0
1613724300,358,0
1613725200,436,3264
1613726100,428,6320
1613727000,388,3152
1613727900,431,3136
1613728800,367,3088
1613729700,409,0
1613730600,525,3088
1613731500,418,3056
1613732400,374,0
1613733300,387,0
1613734200,392,0
1613735100,398,0
1613736000,389,0
1613736900,377,0
1613737800,393,0
1613738700,362,0
1613739600,440,3152
1613740500,336,3104
1613741400,413,3088
1613742300,382,3040
1613743200,397,0
1613744100,379,0
1613745000,357,0
1613745900,565,3056
1613746800,429,6320
1613747700,545,6320
1613748600,654,6320
1613749500,614,5504
1613750400,878,4912
