timestamp,power,heat
1613343600,217,0
1613344500,111,0
1613345400,185,0
1613346300,163,0
1613347200,249,0
1613348100,363,0
1613349000,228,0
1613349900,152,0
1613350800,247,0
1613351700,159,0
1613352600,230,0
1613353500,151,0
1613354400,257,0
1613355300,362,0
1613356200,238,0
1613357100,144,0
1613358000,239,0
1613358900,155,0
1613359800,241,0
1613360700,158,0
1613361600,242,0
1613362500,363,0
1613363400,245,0
1613364300,146,0
1613365200,256,0
1613366100,223,6320
1613367000,324,6320
1613367900,247,6320
1613368800,311,6320
1613369700,270,6320
1613370600,510,5744
1613371500,245,5264
1613372400,317,5200
1613373300,251,5184
1613374200,386,5184
1613375100,231,5184
1613376000,717,5184
1613376900,917,5168
1613377800,912,5168
1613378700,714,5168
1613379600,674,5168
1613380500,850,5168
1613381400,734,5168
1613382300,509,5168
1613383200,652,5168
1613384100,494,5168
1613385000,550,5152
1613385900,519,5152
1613386800,1017,5152
1613387700,778,5152
1613388600,491,5152
1613389500,460,5152
1613390400,657,5152
1613391300,570,5152
1613392200,708,5152
1613393100,650,5152
1613394000,632,5152
1613394900,657,5152
1613395800,773,5152
1613396700,694,5152
1613397600,567,5136
1613398500,679,5136
1613399400,607,5136
1613400300,665,5136
1613401200,614,5136
1613402100,588,5136
1613403000,496,4800
1613403900,738,5312
1613404800,546,4800
1613405700,352,0
1613406600,247,0
1613407500,226,0
1613408400,266,0
1613409300,150,0
1613410200,317,0
1613411100,228,0
1613412000,332,0
1613412900,565,6160
1613413800,619,6320
1613414700,456,6032
1613415600,492,6000
1613416500,459,5904
1613417400,404,0
1613418300,472,0
1613419200,415,0
1613420100,465,0
1613421000,388,0
1613421900,469,6112
1613422800,385,6032
1613423700,747,6000
1613424600,458,5920
1613425500,468,0
1613426400,368,0
1613427300,464,0
1613428200,406,0
1613429100,414,0
1613430000,483,0
1613430900,422,0
1613431800,510,0
1613432700,377,0
1613433600,461,0
1613434500,377,0
1613435400,442,0
1613436300,379,0
1613437200,420,0
1613438100,356,0
1613439000,348,0
1613439900,391,0
1613440800,312,0
1613441700,396,0
1613442600,331,0
1613443500,406,0
1613444400,303,0
1613445300,386,0
1613446200,203,0
1613447100,225,0
1613448000,146,0
1613448900,222,0
1613449800,135,0
1613450700,175,0
1613451600,193,0
1613452500,146,6320
1613453400,302,6320
1613454300,209,6320
1613455200,278,6320
1613456100,197,6272
1613457000,274,5456
1613457900,203,5200
1613458800,246,5152
1613459700,210,5152
1613460600,216,4800
1613461500,273,3312
1613462400,185,2592
1613463300,267,2320
1613464200,214,2176
1613465100,294,2112
1613466000,176,2016
1613466900,273,1920
1613467800,170,1840
1613468700,280,6320
1613469600,197,6176
1613470500,222,0
1613471400,207,0
1613472300,165,0
1613473200,245,0
1613474100,183,0
1613475000,349,6256
1613475900,169,6144
1613476800,243,0
1613477700,169,0
1613478600,248,0
1613479500,225,0
1613480400,257,6192
