timestamp,power
1613343600,180
1613344500,121
1613345400,76
1613346300,64
1613347200,92
1613348100,46
1613349000,56
1613349900,91
1613350800,59
1613351700,45
1613352600,89
1613353500,100
1613354400,73
1613355300,55
1613356200,77
1613357100,65
1613358000,55
1613358900,80
1613359800,52
1613360700,63
1613361600,84
1613362500,56
1613363400,68
1613364300,101
1613365200,83
1613366100,51
1613367000,58
1613367900,87
1613368800,55
1613369700,92
1613370600,130
1613371500,56
1613372400,84
1613373300,111
1613374200,133
1613375100,144
1613376000,173
1613376900,224
1613377800,145
1613378700,153
1613379600,160
1613380500,118
1613381400,118
1613382300,161
1613383200,116
1613384100,127
1613385000,161
1613385900,140
1613386800,117
1613387700,166
1613388600,131
1613389500,136
1613390400,145
1613391300,141
1613392200,129
1613393100,131
1613394000,282
1613394900,124
1613395800,138
1613396700,297
1613397600,110
1613398500,111
1613399400,161
1613400300,110
1613401200,113
1613402100,148
1613403000,116
1613403900,138
1613404800,198
1613405700,633
1613406600,645
1613407500,701
1613408400,368
1613409300,175
1613410200,205
1613411100,302
1613412000,190
1613412900,250
1613413800,210
1613414700,224
1613415600,190
1613416500,217
1613417400,200
1613418300,178
1613419200,164
1613420100,215
1613421000,172
1613421900,172
1613422800,177
1613423700,157
1613424600,225
1613425500,952
1613426400,298
1613427300,524
1613428200,303
1613429100,176
1613430000,137
1613430900,144
1613431800,168
1613432700,133
1613433600,104
1613434500,194
1613435400,101
1613436300,69
1613437200,52
1613438100,73
1613439000,50
1613439900,63
1613440800,67
1613441700,55
1613442600,53
1613443500,104
1613444400,65
1613445300,65
1613446200,74
1613447100,78
1613448000,53
1613448900,57
1613449800,69
1613450700,58
1613451600,51
1613452500,79
1613453400,54
1613454300,81
1613455200,96
1613456100,96
1613457000,93
1613457900,59
1613458800,168
1613459700,115
1613460600,139
1613461500,210
1613462400,115
1613463300,110
1613464200,143
1613465100,86
1613466000,96
1613466900,208
1613467800,103
1613468700,465
1613469600,385
1613470500,97
