timestamp,power
1613343600,37
1613344500,36
1613345400,33
1613346300,42
1613347200,38
1613348100,31
1613349000,46
1613349900,35
1613350800,27
1613351700,43
1613352600,28
1613353500,38
1613354400,42
1613355300,33
1613356200,38
1613357100,40
1613358000,18
1613358900,53
1613359800,27
1613360700,32
1613361600,46
1613362500,21
1613363400,83
1613364300,63
1613365200,115
1613366100,98
1613367000,96
1613367900,150
1613368800,169
1613369700,195
1613370600,206
1613371500,216
1613372400,76
1613373300,101
1613374200,117
1613375100,106
1613376000,119
1613376900,130
1613377800,161
1613378700,171
1613379600,101
1613380500,194
1613381400,70
1613382300,51
1613383200,176
1613384100,275
1613385000,68
1613385900,262
1613386800,399
1613387700,125
1613388600,77
1613389500,73
1613390400,89
1613391300,78
1613392200,99
1613393100,148
1613394000,164
1613394900,112
1613395800,85
1613396700,40
1613397600,37
1613398500,67
1613399400,64
1613400300,141
1613401200,143
1613402100,216
1613403000,192
1613403900,163
1613404800,129
1613405700,87
1613406600,85
1613407500,93
1613408400,170
1613409300,150
1613410200,260
1613411100,290
1613412000,188
1613412900,185
1613413800,157
1613414700,146
1613415600,148
1613416500,152
1613417400,139
1613418300,171
1613419200,172
1613420100,199
1613421000,165
1613421900,100
1613422800,112
1613423700,57
1613424600,46
1613425500,33
1613426400,42
1613427300,23
1613428200,46
1613429100,31
1613430000,30
1613430900,50
1613431800,17
1613432700,57
1613433600,26
1613434500,39
1613435400,38
1613436300,29
1613437200,37
1613438100,35
1613439000,42
1613439900,23
1613440800,45
1613441700,28
1613442600,43
1613443500,36
1613444400,28
1613445300,44
1613446200,26
1613447100,31
1613448000,43
1613448900,34
1613449800,45
1613450700,88
1613451600,112
1613452500,120
1613453400,93
1613454300,98
1613455200,177
1613456100,116
1613457000,124
1613457900,228
1613458800,115
1613459700,128
1613460600,143
1613461500,120
1613462400,110
1613463300,77
1613464200,100
1613465100,74
1613466000,134
1613466900,329
1613467800,158
1613468700,175
1613469600,106
1613470500,68
1613471400,213
1613472300,180
1613473200,95
1613474100,90
1613475000,264
1613475900,76
1613476800,65
1613477700,111
1613478600,73
1613479500,108
1613480400,64
1613481300,111
1613482200,82
1613483100,78
1613484000,60
1613484900,65
1613485800,63
1613486700,126
1613487600,168
1613488500,155
1613489400,176
1613490300,174
1613491200,143
1613492100,178
1613493000,168
1613493900,183
1613494800,193
1613495700,170
1613496600,151
1613497500,246
1613498400,250
1613499300,186
1613500200,230
1613501100,211
1613502000,217
1613502900,236
1613503800,198
1613504700,195
1613505600,206
1613506500,206
1613507400,200
