timestamp,power_81m41px8v6,power_ss152iu581,soc_ss152iu581,power_ee8b68u2v0,price,power_9907ns428gduplicate,power_208140qdk8duplicate,wind_speed_ee8b68u2v0,price_energy_levies_positive,price_energy_levies_negative,power_9907ns428g,power_208140qdk8
1616539500,0.0,0.0,0.0,0.0,2.88,-355.42857142857144,0.0,0.97,0.0,0.18,,
1616540400,,0.0,0.0,0.0,2.88,-329.7142857142857,0.0,1.22,0.0,0.18,-329.7142857142857,0.0
1616541300,,0.0,0.0,0.0,2.88,-311.0,0.0,1.22,0.0,0.18,-311.0,0.0
1616542200,,0.0,0.0,0.0,2.88,-334.42857142857144,0.0,1.22,0.0,0.18,-334.42857142857144,0.0
1616543100,,0.0,0.0,0.0,2.88,-315.7142857142857,0.0,1.22,0.0,0.18,-315.7142857142857,0.0
1616544000,,0.0,0.0,0.0,2.88,-295.14285714285717,0.0,1.43,0.0,0.18,-295.14285714285717,0.0
1616544900,,0.0,0.0,0.0,2.88,-304.42857142857144,0.0,1.43,0.0,0.18,-304.42857142857144,0.0
1616545800,,0.0,0.0,0.0,2.88,-303.7142857142857,0.0,1.43,0.0,0.18,-303.7142857142857,0.0
1616546700,,0.0,0.0,0.0,2.88,-325.7142857142857,0.0,1.43,0.0,0.18,-325.7142857142857,0.0
1616547600,,0.0,0.0,0.0,2.88,-356.85714285714283,0.0,1.59,0.0,0.18,-356.85714285714283,0.0
1616548500,,0.0,0.0,0.0,2.88,-344.7142857142857,0.0,1.59,0.0,0.18,-344.7142857142857,0.0
1616549400,,0.0,0.0,0.0,2.88,-326.2857142857143,0.0,1.59,0.0,0.18,-326.2857142857143,0.0
1616550300,,0.0,0.0,0.0,2.88,-346.14285714285717,0.0,1.59,0.0,0.18,-346.14285714285717,0.0
1616551200,,0.0,0.0,0.0,2.88,-353.57142857142856,0.0,1.51,0.0,0.18,-353.57142857142856,0.0
1616552100,,0.0,0.0,0.0,2.88,-353.14285714285717,0.0,1.51,0.0,0.18,-353.14285714285717,0.0
1616553000,,0.0,0.0,0.0,2.88,-353.2857142857143,0.0,1.51,0.0,0.18,-353.2857142857143,0.0
1616553900,,0.0,0.0,0.0,2.88,-346.14285714285717,0.0,1.51,0.0,0.18,-346.14285714285717,0.0
1616554800,,0.0,0.0,0.0,2.88,-337.42857142857144,0.0,1.31,0.0,0.18,-337.42857142857144,0.0
1616555700,,0.0,0.0,0.0,2.88,-347.57142857142856,0.0005263157894736842,1.31,0.0,0.18,-347.57142857142856,0.0005263157894736842
1616556600,,0.0,0.0,0.0,2.88,-345.14285714285717,0.001513157894736842,1.31,0.0,0.18,-345.14285714285717,0.001513157894736842
1616557500,,0.0,0.0,0.0,2.88,-313.14285714285717,0.003157894736842105,1.31,0.0,0.18,-313.14285714285717,0.003157894736842105
1616558400,,0.0,0.0,0.0,2.88,-334.0,0.005263157894736842,1.18,0.0,0.18,-334.0,0.005263157894736842
1616559300,,0.0,0.0,0.0,2.88,-339.85714285714283,0.007631578947368416,1.18,0.0,0.18,-339.85714285714283,0.007631578947368416
1616560200,,0.0,0.0,0.0,2.88,-318.0,0.010526315789473675,1.18,0.0,0.18,-318.0,0.010526315789473675
1616561100,,0.0,0.0,0.0,2.88,-334.57142857142856,0.01361842105263157,1.18,0.0,0.18,-334.57142857142856,0.01361842105263157
1616562000,,0.0,0.0,0.0,2.88,-398.2857142857143,0.02065789473684209,1.44,0.0,0.18,-398.2857142857143,0.02065789473684209
1616562900,,0.0,0.0,0.0,2.88,-351.0,0.034671052631578936,1.44,0.0,0.18,-351.0,0.034671052631578936
1616563800,,0.0,0.0,0.0,2.88,-407.14285714285717,0.05263157894736841,1.44,0.0,0.18,-407.14285714285717,0.05263157894736841
1616564700,,0.0,0.0,0.0,2.88,-409.14285714285717,0.07361842105263157,1.44,0.0,0.18,-409.14285714285717,0.07361842105263157
1616565600,,0.0,0.0,0.0,2.88,-457.0,0.09723684210526314,1.4,0.0,0.18,-457.0,0.09723684210526314
1616566500,,0.0,0.0,0.0,2.88,-466.0,0.12361842105263157,1.4,0.0,0.18,-466.0,0.12361842105263157
1616567400,,0.0,0.0,0.0,2.88,-570.5714285714286,0.15223684210526317,1.4,0.0,0.18,-570.5714285714286,0.15223684210526317
1616568300,,0.0,0.0,0.0,2.88,-550.7142857142857,0.17907894736842103,1.4,0.0,0.18,-550.7142857142857,0.17907894736842103
1616569200,,0.0,0.0,0.0,2.88,-490.57142857142856,0.20618421052631572,1.3,0.0,0.18,-490.57142857142856,0.20618421052631572
1616570100,,0.0,0.0,0.0,2.88,-520.5714285714286,0.24032894736842098,1.3,0.0,0.18,-520.5714285714286,0.24032894736842098
1616571000,,0.0,0.0,0.0,2.88,-470.0,0.27611842105263146,1.3,0.0,0.18,-470.0,0.27611842105263146
1616571900,,0.0,0.0,0.0,2.88,-480.2857142857143,0.3134210526315789,1.3,0.0,0.18,-480.2857142857143,0.3134210526315789
1616572800,,0.0,0.0,0.0,2.88,-451.14285714285717,0.3513815789473684,1.17,0.0,0.18,-451.14285714285717,0.3513815789473684
1616573700,,0.0,0.0,0.0,2.88,-443.14285714285717,0.38986842105263153,1.17,0.0,0.18,-443.14285714285717,0.38986842105263153
1616574600,,0.0,0.0,0.0,2.88,-492.7142857142857,0.42861842105263154,1.17,0.0,0.18,-492.7142857142857,0.42861842105263154
1616575500,,0.0,0.0,0.0,2.88,-460.2857142857143,0.46730263157894736,1.17,0.0,0.18,-460.2857142857143,0.46730263157894736
1616576400,,0.0,0.0,0.0,2.88,-454.57142857142856,0.5063815789473685,0.45,0.0,0.18,-454.57142857142856,0.5063815789473685
