Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_h_ref [W],P_th_h_ref [W],COP_ref,P_el_c_ref [W],P_th_c_ref [W],p1_P_th [1/°C],p2_P_th [1/°C],p3_P_th [-],p4_P_th [1/°C],p1_P_el_h [1/°C],p2_P_el_h [1/°C],p3_P_el_h [-],p4_P_el_h [1/°C],p1_COP [-],p2_COP [-],p3_COP [-],p4_COP [-],MAPE_P_el,MAPE_COP,MAPE_P_th,p1_Pdc [1/°C],p2_Pdc [1/°C],p3_Pdc [-],p4_Pdc [1/°C],p1_P_el_c [1/°C],p2_P_el_c [1/°C],p3_P_el_c [-],p4_P_el_c [1/°C],p1_EER [-],p2_EER [-],p3_EER [-],p4_EER [-],MAPE_P_el_cooling,MAPE_EER,MAPE_Pdc
Generic,Generic,,Outdoor Air/Water,Regulated,1.0,,,,,,average,,,1.41,,,69.9699269029044,-0.003427408206791532,0.913500392869741,-69.99813440484245,82.190970376356,0.011364931157702964,0.047006635518556925,-82.24031588014476,46.37462900126993,-0.08756667775339226,7.0454352113504,-46.22057938564581,,,,71.62008318054674,-0.00400911775160958,-0.41128271554915535,-71.57897400145647,69.04435917706627,-0.009207902870547003,-1.3686388581308666,-68.9764925237476,-11.722767689835576,0.06483988471701928,11.520050352377071,11.474317304082298,,,
Generic,Generic,,Brine/Water,Regulated,2.0,,,,,,average,,,3.0,,,0.002986162946800257,-0.0029861650906596485,0.8843904100055355,-0.03693103551531477,-0.013036429137469543,0.013036428663499489,0.06982106792103977,-0.034154131774601554,0.09856460505867316,-0.0985646059028396,8.12241287944408,-0.00010931425657465305,,,,,,,,,,,,,,,,,,
Generic,Generic,,Water/Water,Regulated,3.0,,,,,,average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generic,Generic,,Outdoor Air/Water,On-Off,4.0,,,,,,average,,,1.89,,,63.638211241981786,-0.00486851505691492,1.4796992553361892,-63.598899358160196,52.80977589691014,0.012576981407445823,0.3622942294868922,-52.8064293397896,60.04852969530065,-0.06031834092437791,5.696027224871861,-59.95319662642105,,,,,,,,,,,,,,,,,,
Generic,Generic,,Brine/Water,On-Off,5.0,,,,,,average,,,2.87,,,0.005991548709532495,-0.005991542673043464,1.2940200313344263,-0.0017875977655714451,-0.015276067213508274,0.015276057852405728,0.24191657158574367,0.004297673500507064,0.10392973889115246,-0.10392977605415854,8.054635527742949,-0.03189750970762583,,,,,,,,,,,,,,,,,,
Generic,Generic,,Water/Water,On-Off,6.0,,,,,,average,,,3.47,,,0.005386433020521861,-0.005386432717127467,1.21602179982479,-0.0012054441591884066,-0.014157910186581548,0.01415790911617586,0.3969223704186151,0.0012291825426507903,0.10991827117359061,-0.10991827583286337,8.008766088742181,-0.011252304682216186,,,,,,,,,,,,,,,,,,
